id,external_id,match_number,stage,group_letter,home_team_id,away_team_id,home_placeholder,away_placeholder,kickoff_time,venue,city,country,status,home_score,away_score,home_score_penalties,away_score_penalties,winner_team_id,advancing_team_id,source,source_updated_at,raw_source_payload,created_at,updated_at
6dda1562-adf4-40ab-a0ab-9b29e17d71f6,,73,round_of_32,,,,2nd Group A,2nd Group B,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
5f408fd6-a634-441f-adc4-27af43cfd25c,,74,round_of_32,,,,1st Group E,3rd Group A/B/C/D/F,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
1f4ccc6b-323f-4bc6-8193-cb648fe86f3d,,75,round_of_32,,,,1st Group F,2nd Group C,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
51ea951e-3f1d-47e1-bb2c-146464e8e74d,,76,round_of_32,,,,1st Group C,2nd Group F,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
b805ccc5-8284-40e1-887e-20290d0b3e40,,77,round_of_32,,,,1st Group I,3rd Group C/D/F/G/H,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
e07bbe45-356f-4ec7-85d2-aad165965334,,78,round_of_32,,,,2nd Group E,2nd Group I,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
460ab5a0-4634-481f-9eb0-67d17156d5af,,79,round_of_32,,,,1st Group A,3rd Group C/E/F/H/I,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
7102d5c0-30dd-47da-83c8-def87d7a2e59,,80,round_of_32,,,,1st Group L,3rd Group E/H/I/J/K,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
6181bf07-7588-4e79-89fc-91e549dc66f1,,81,round_of_32,,,,1st Group D,3rd Group B/E/F/I/J,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
30f8bea1-eada-4ad0-9f31-3884c3a9353c,,82,round_of_32,,,,1st Group G,3rd Group A/E/H/I/J,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
65188f93-7493-4c5d-bb67-da001ce67b9c,,83,round_of_32,,,,2nd Group K,2nd Group L,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
e8990994-f02b-4622-a1ef-6ff491fefd63,,84,round_of_32,,,,1st Group H,2nd Group J,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
da7ee4bc-044c-4aa6-a6cd-fa366b494c8a,,85,round_of_32,,,,1st Group B,3rd Group E/F/G/I/J,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
fe04e9f3-bc0a-4a89-8b86-4000c534cc81,,86,round_of_32,,,,1st Group J,2nd Group H,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
24a18da6-d7d6-4549-855f-28307cbbf353,,87,round_of_32,,,,1st Group K,3rd Group D/E/I/J/L,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
fc0010a8-7b38-4354-9c9b-b55458e0488f,,88,round_of_32,,,,2nd Group D,2nd Group G,,,,,scheduled,,,,,,,manual,,,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
546eff6a-6f44-4f62-86a5-18cbc5609d38,,89,round_of_16,,,,Winner Match 73,Winner Match 74,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
15389b79-80d0-4ca9-848b-36f8d0c638e2,,90,round_of_16,,,,Winner Match 75,Winner Match 76,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
6dc7360e-76a0-44bc-8a18-2b5127cfa082,,91,round_of_16,,,,Winner Match 77,Winner Match 78,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
a72ca531-30a8-4804-9d02-b9a71093a6ac,,92,round_of_16,,,,Winner Match 79,Winner Match 80,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
460ad53f-5508-4368-bc00-9ad6ed3972ef,,93,round_of_16,,,,Winner Match 81,Winner Match 82,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
3a820fd0-96a6-4d90-aa7f-adae259b5872,,94,round_of_16,,,,Winner Match 83,Winner Match 84,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
24b2e3e6-3f5b-42f9-b9de-772b9ea97acd,,95,round_of_16,,,,Winner Match 85,Winner Match 86,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
f9f125b5-3591-47a8-b57b-869acfbf3b85,,96,round_of_16,,,,Winner Match 87,Winner Match 88,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
69c56430-09a7-4f42-98a8-d88e9905c911,,97,quarter_final,,,,Winner Match 89,Winner Match 90,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
850506be-658c-4752-8b08-3dde02ed9cd3,,98,quarter_final,,,,Winner Match 91,Winner Match 92,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
959eee08-522a-42f9-b906-d584b358024f,,99,quarter_final,,,,Winner Match 93,Winner Match 94,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
97213bc4-78f9-4902-a332-674adf0a48e5,,100,quarter_final,,,,Winner Match 95,Winner Match 96,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
d604205d-0dec-446b-bc1f-662ae792100f,,101,semi_final,,,,Winner Match 97,Winner Match 98,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
ced2b744-29df-49e2-9f17-0758bd0865ac,,102,semi_final,,,,Winner Match 99,Winner Match 100,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
2bfe4af9-bb21-423b-840b-75a711229d2e,,103,third_place,,,,Loser Match 101,Loser Match 102,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
976a6a9d-8d1c-4e71-966f-3ea5eaa22ba5,,104,final,,,,Winner Match 101,Winner Match 102,,,,,scheduled,,,,,,,manual,,,2026-06-01 13:55:22.10298+02,2026-06-01 13:55:22.10298+02
e69b087a-d80b-427e-809b-893e1fdf26c0,,22,group,L,52e74041-5788-4e6f-b2b4-ecfb394a30d2,d2b69d81-5e5e-400a-9afc-2597136e4001,,,2026-06-17 22:00:00+02,AT&T Stadium,Dallas,Estados Unidos,scheduled,,,,,,,manual,2026-05-31 18:04:21.559029+02,,2026-05-29 17:33:41.46057+02,2026-05-31 18:04:21.559029+02
c4980706-f569-4750-b04d-0a103bd0e3ed,,23,group,K,d25e3dfe-f05b-47d0-b1a4-992f48628f0c,3e02c4d1-5885-4106-af90-9188c8d02902,,,2026-06-17 19:00:00+02,NRG Stadium,Houston,Estados Unidos,scheduled,,,,,,,manual,2026-05-31 18:04:21.559029+02,,2026-05-29 17:33:41.46057+02,2026-05-31 18:04:21.559029+02
bfd4c08e-f247-47db-b7cc-ad1cd004c50a,,24,group,K,019c7e96-1595-4c35-8893-994ffe7d0021,478f862c-eb74-4832-8def-aa7f7928fb82,,,2026-06-18 04:00:00+02,Estadio Azteca,Ciudad de México,México,scheduled,,,,,,,manual,2026-05-31 18:04:21.559029+02,,2026-05-29 17:33:41.46057+02,2026-05-31 18:04:21.559029+02
29d9e450-9761-4f78-838d-7d8bc2fdf451,,25,group,A,d0add2f9-3efd-4f29-b888-daa9068e0a95,11368028-3ee3-4f20-bb85-46483d887e6a,,,2026-06-18 18:00:00+02,Mercedes-Benz Stadium,Atlanta,Estados Unidos,scheduled,0,0,0,0,,,manual,2026-05-31 18:04:21.559029+02,,2026-05-29 17:33:41.46057+02,2026-05-31 18:04:21.559029+02
